Species,Cougar1,Cougar2,Cougar3,Cougar4,Cougar5,Cougar6,Cougar7,Cougar8,Cougar9,Cougar10,Cougar11,Cougar12,Cougar13,Cougar14,Cougar15,Cougar16,Cougar17,Cougar18,Cougar19,Cougar20,Cougar21,Cougar22,Cougar23,Cougar24,Cougar25,Cougar26,Cougar27,Cougar28,Cougar29,Cougar30,Seward1,Seward2,Seward3,Seward4,Seward5,Seward6,Seward7,Seward8,Seward9,Seward10,Seward11,Seward12,Seward13,Seward14,Seward15,Seward16,Seward17,Seward18,Seward19,Seward20,Seward21,Seward22,Seward23,Seward24,Seward25,Seward26,Seward27,Seward28,Seward29,Seward30,SeattleU1,SeattleU2,SeattleU3,SeattleU4,SeattleU5,SeattleU6,SeattleU7,SeattleU8,SeattleU9,SeattleU10,SeattleU11,SeattleU12,SeattleU13,SeattleU14,SeattleU15,SeattleU16,SeattleU17,SeattleU18
Springtails,8,4,NA,10,4,3,5,18,3,469,1000,9,330,1000,49,1,3,4,NA,NA,NA,1,10,8,7,18,2,5,1,4,16,16,22,15,2,4,8,36,1,5,0,1,6,2,7,12,4,6,23,9,12,7,4,5,3,9,17,8,NA,51,9,0,3,24,7,37,27,7,9,8,3,50,30,12,107,NA,NA,NA
Mites,46,28,NA,56,21,19,20,7,133,44,0,25,33,0,50,9,15,16,NA,NA,NA,29,25,47,9,7,24,43,28,56,18,21,12,21,78,9,23,6,35,9,5,50,13,3,9,9,7,17,22,16,31,30,5,28,15,16,15,16,NA,17,32,43,30,29,61,55,62,24,16,96,159,156,15,22,9,NA,NA,NA
Spiders,3,0,NA,2,0,0,0,0,0,0,0,2,1,0,2,0,2,2,NA,NA,NA,2,1,0,3,1,2,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
Millipedes,0,1,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,NA,NA
Centipedes,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,2,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,NA,NA,NA
Pseudo-Scorps,10,2,NA,6,5,8,4,5,13,1,0,2,1,0,5,2,1,8,NA,NA,NA,2,12,6,0,3,5,13,6,2,1,2,2,1,3,1,3,0,0,9,6,0,9,1,4,6,3,17,0,4,1,4,0,3,0,0,4,5,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Beetles,1,1,NA,0,1,0,0,0,4,5,0,0,2,0,0,0,3,3,NA,NA,NA,0,0,1,0,6,0,0,1,1,1,0,0,4,0,2,0,0,0,0,0,0,0,1,1,3,0,4,2,0,1,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,6,9,3,0,0,16,NA,NA,NA
Ticks,0,2,NA,10,0,7,0,1,7,8,0,7,5,0,9,0,3,0,NA,NA,NA,0,0,2,1,0,0,1,3,2,2,0,0,8,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,NA,1,2,39,5,9,1,4,1,0,0,2,0,1,0,4,16,NA,NA,NA
Pill bugs,0,0,NA,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,NA,NA,NA,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,2,3,0,1,3,0,1,0,0,0,0,0,0,0,NA,0,1,0,1,1,0,2,1,0,0,0,0,0,4,0,0,NA,NA,NA
Ants,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Sawflies,2,0,NA,1,0,2,1,3,5,1,0,2,0,0,1,0,9,0,NA,NA,NA,1,2,0,0,2,0,0,3,2,0,3,1,1,0,0,1,1,0,1,0,2,2,1,1,2,1,2,1,0,0,1,1,1,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Harvestmen,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Fleas,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Termites,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Flies,1,0,NA,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
